year,type_of_connection,internet_access
2008,fixed broadband,91
2008,wireless broadband,8
2008,fibre broadband,na
2009,fixed broadband,92
2009,wireless broadband,12
2009,fibre broadband,na
2010,fixed broadband,91
2010,wireless broadband,28
2010,fibre broadband,na
2011,fixed broadband,91
2011,wireless broadband,34
2011,fibre broadband,na
2012,fixed broadband,61
2012,wireless broadband,38
2012,fibre broadband,25
2013,fixed broadband,39
2013,wireless broadband,46
2013,fibre broadband,47
2014,fixed broadband,26
2014,wireless broadband,56
2014,fibre broadband,62
2015,fixed broadband,17
2015,wireless broadband,22
2015,fibre broadband,76
2016,fixed broadband,10
2016,wireless broadband,22
2016,fibre broadband,76
2017,fixed broadband,9
2017,wireless broadband,17
2017,fibre broadband,79
2018,fixed broadband,5
2018,wireless broadband,8
2018,fibre broadband,92
